article_id,topic_id,topic_name
235,3,International Affairs & Military
236,6,Health & Drugs Research
237,12,Technology & Computing
238,5,Thoughts & Opinions
239,2,Environmental & Natural Disasters
240,8,War & Terrorism
241,16,Healthcare & Medicine
242,4,Crime & Law Enforcement
243,10,Economy & Business
244,9,Elections & Politics
245,10,Economy & Business
246,19,Sports & Competitions
247,4,Crime & Law Enforcement
248,4,Crime & Law Enforcement
249,9,Elections & Politics
250,4,Crime & Law Enforcement
251,2,Environmental & Natural Disasters
252,14,Law & Legal Issues
253,10,Economy & Business
254,4,Crime & Law Enforcement
255,19,Sports & Competitions
256,6,Health & Drugs Research
257,19,Sports & Competitions
258,15,Urban Life & Infrastructure
259,8,War & Terrorism
260,8,War & Terrorism
261,4,Crime & Law Enforcement
262,1,Entertainment & Media
263,0,Family & Relationships
264,5,Thoughts & Opinions
265,5,Thoughts & Opinions
266,8,War & Terrorism
267,5,Thoughts & Opinions
268,8,War & Terrorism
269,2,Environmental & Natural Disasters
270,4,Crime & Law Enforcement
271,0,Family & Relationships
272,4,Crime & Law Enforcement
273,0,Family & Relationships
274,9,Elections & Politics
275,1,Entertainment & Media
276,5,Thoughts & Opinions
277,4,Crime & Law Enforcement
278,0,Family & Relationships
279,10,Economy & Business
280,4,Crime & Law Enforcement
281,7,Education & School Safety
282,19,Sports & Competitions
283,11,Transportation & Aviation
284,17,Social Movements & Protests
285,9,Elections & Politics
286,15,Urban Life & Infrastructure
287,12,Technology & Computing
288,8,War & Terrorism
289,10,Economy & Business
290,6,Health & Drugs Research
291,8,War & Terrorism
292,1,Entertainment & Media
293,8,War & Terrorism
294,8,War & Terrorism
295,1,Entertainment & Media
296,8,War & Terrorism
297,1,Entertainment & Media
298,10,Economy & Business
299,19,Sports & Competitions
300,9,Elections & Politics
301,19,Sports & Competitions
302,2,Environmental & Natural Disasters
303,4,Crime & Law Enforcement
304,1,Entertainment & Media
305,12,Technology & Computing
306,8,War & Terrorism
307,3,International Affairs & Military
308,15,Urban Life & Infrastructure
309,12,Technology & Computing
310,15,Urban Life & Infrastructure
311,8,War & Terrorism
312,6,Health & Drugs Research
313,2,Environmental & Natural Disasters
314,3,International Affairs & Military
315,16,Healthcare & Medicine
316,19,Sports & Competitions
317,6,Health & Drugs Research
318,3,International Affairs & Military
319,12,Technology & Computing
320,19,Sports & Competitions
321,16,Healthcare & Medicine
322,4,Crime & Law Enforcement
323,15,Urban Life & Infrastructure
324,3,International Affairs & Military
325,10,Economy & Business
326,16,Healthcare & Medicine
327,4,Crime & Law Enforcement
328,3,International Affairs & Military
329,3,International Affairs & Military
330,5,Thoughts & Opinions
331,4,Crime & Law Enforcement
332,13,Art & Aesthetics
333,19,Sports & Competitions
334,1,Entertainment & Media
335,12,Technology & Computing
336,6,Health & Drugs Research
337,0,Family & Relationships
338,8,War & Terrorism
339,16,Healthcare & Medicine
340,9,Elections & Politics
341,17,Social Movements & Protests
342,4,Crime & Law Enforcement
343,9,Elections & Politics
344,19,Sports & Competitions
345,13,Art & Aesthetics
346,19,Sports & Competitions
347,4,Crime & Law Enforcement
348,4,Crime & Law Enforcement
349,17,Social Movements & Protests
350,10,Economy & Business
351,4,Crime & Law Enforcement
352,5,Thoughts & Opinions
353,1,Entertainment & Media
354,19,Sports & Competitions
355,10,Economy & Business
356,5,Thoughts & Opinions
357,17,Social Movements & Protests
358,9,Elections & Politics
359,1,Entertainment & Media
360,19,Sports & Competitions
361,13,Art & Aesthetics
362,15,Urban Life & Infrastructure
363,19,Sports & Competitions
364,11,Transportation & Aviation
365,5,Thoughts & Opinions
366,11,Transportation & Aviation
367,4,Crime & Law Enforcement
368,10,Economy & Business
369,2,Environmental & Natural Disasters
370,5,Thoughts & Opinions
371,19,Sports & Competitions
372,12,Technology & Computing
373,14,Law & Legal Issues
374,3,International Affairs & Military
375,10,Economy & Business
376,5,Thoughts & Opinions
377,4,Crime & Law Enforcement
378,5,Thoughts & Opinions
379,8,War & Terrorism
380,10,Economy & Business
381,8,War & Terrorism
382,4,Crime & Law Enforcement
383,1,Entertainment & Media
384,9,Elections & Politics
385,0,Family & Relationships
386,12,Technology & Computing
387,4,Crime & Law Enforcement
388,15,Urban Life & Infrastructure
389,10,Economy & Business
390,16,Healthcare & Medicine
391,12,Technology & Computing
392,8,War & Terrorism
393,17,Social Movements & Protests
394,17,Social Movements & Protests
395,4,Crime & Law Enforcement
396,4,Crime & Law Enforcement
397,13,Art & Aesthetics
398,19,Sports & Competitions
399,2,Environmental & Natural Disasters
400,2,Environmental & Natural Disasters
401,0,Family & Relationships
402,6,Health & Drugs Research
403,17,Social Movements & Protests
404,4,Crime & Law Enforcement
405,15,Urban Life & Infrastructure
406,8,War & Terrorism
407,3,International Affairs & Military
408,11,Transportation & Aviation
409,10,Economy & Business
410,4,Crime & Law Enforcement
411,3,International Affairs & Military
412,3,International Affairs & Military
413,4,Crime & Law Enforcement
414,19,Sports & Competitions
415,4,Crime & Law Enforcement
416,5,Thoughts & Opinions
417,4,Crime & Law Enforcement
418,13,Art & Aesthetics
419,4,Crime & Law Enforcement
420,5,Thoughts & Opinions
421,17,Social Movements & Protests
422,0,Family & Relationships
423,9,Elections & Politics
424,4,Crime & Law Enforcement
425,3,International Affairs & Military
426,12,Technology & Computing
427,0,Family & Relationships
428,5,Thoughts & Opinions
429,8,War & Terrorism
430,12,Technology & Computing
431,7,Education & School Safety
432,17,Social Movements & Protests
433,9,Elections & Politics
434,17,Social Movements & Protests
435,13,Art & Aesthetics
436,4,Crime & Law Enforcement
437,13,Art & Aesthetics
438,12,Technology & Computing
439,14,Law & Legal Issues
440,1,Entertainment & Media
441,4,Crime & Law Enforcement
442,0,Family & Relationships
443,10,Economy & Business
444,4,Crime & Law Enforcement
445,0,Family & Relationships
446,16,Healthcare & Medicine
447,11,Transportation & Aviation
448,12,Technology & Computing
449,9,Elections & Politics
450,12,Technology & Computing
451,13,Art & Aesthetics
452,4,Crime & Law Enforcement
453,11,Transportation & Aviation
454,3,International Affairs & Military
455,9,Elections & Politics
456,6,Health & Drugs Research
457,0,Family & Relationships
458,0,Family & Relationships
459,16,Healthcare & Medicine
460,17,Social Movements & Protests
461,19,Sports & Competitions
462,8,War & Terrorism
463,15,Urban Life & Infrastructure
464,19,Sports & Competitions
465,1,Entertainment & Media
466,9,Elections & Politics
467,10,Economy & Business
468,4,Crime & Law Enforcement
469,5,Thoughts & Opinions
470,8,War & Terrorism
471,5,Thoughts & Opinions
472,3,International Affairs & Military
473,3,International Affairs & Military
474,0,Family & Relationships
475,14,Law & Legal Issues
476,19,Sports & Competitions
477,2,Environmental & Natural Disasters
478,3,International Affairs & Military
479,4,Crime & Law Enforcement
480,19,Sports & Competitions
481,5,Thoughts & Opinions
482,4,Crime & Law Enforcement
483,5,Thoughts & Opinions
484,17,Social Movements & Protests
485,2,Environmental & Natural Disasters
486,2,Environmental & Natural Disasters
487,11,Transportation & Aviation
488,5,Thoughts & Opinions
489,14,Law & Legal Issues
490,17,Social Movements & Protests
491,6,Health & Drugs Research
492,19,Sports & Competitions
493,6,Health & Drugs Research
494,13,Art & Aesthetics
495,4,Crime & Law Enforcement
496,2,Environmental & Natural Disasters
497,8,War & Terrorism
498,19,Sports & Competitions
499,4,Crime & Law Enforcement
500,13,Art & Aesthetics
501,8,War & Terrorism
502,1,Entertainment & Media
503,9,Elections & Politics
504,6,Health & Drugs Research
505,2,Environmental & Natural Disasters
506,8,War & Terrorism
507,5,Thoughts & Opinions
508,4,Crime & Law Enforcement
509,1,Entertainment & Media
510,4,Crime & Law Enforcement
511,14,Law & Legal Issues
512,4,Crime & Law Enforcement
513,4,Crime & Law Enforcement
514,8,War & Terrorism
515,19,Sports & Competitions
516,5,Thoughts & Opinions
517,1,Entertainment & Media
518,7,Education & School Safety
519,11,Transportation & Aviation
520,3,International Affairs & Military
521,4,Crime & Law Enforcement
522,5,Thoughts & Opinions
523,4,Crime & Law Enforcement
524,5,Thoughts & Opinions
525,2,Environmental & Natural Disasters
526,4,Crime & Law Enforcement
527,5,Thoughts & Opinions
528,19,Sports & Competitions
529,5,Thoughts & Opinions
530,4,Crime & Law Enforcement
531,0,Family & Relationships
532,3,International Affairs & Military
533,10,Economy & Business
534,12,Technology & Computing
535,4,Crime & Law Enforcement
536,11,Transportation & Aviation
537,8,War & Terrorism
538,6,Health & Drugs Research
539,19,Sports & Competitions
540,3,International Affairs & Military
541,8,War & Terrorism
542,0,Family & Relationships
543,17,Social Movements & Protests
544,4,Crime & Law Enforcement
545,2,Environmental & Natural Disasters
546,1,Entertainment & Media
547,19,Sports & Competitions
548,10,Economy & Business
549,19,Sports & Competitions
550,3,International Affairs & Military
551,12,Technology & Computing
552,4,Crime & Law Enforcement
553,10,Economy & Business
554,17,Social Movements & Protests
555,5,Thoughts & Opinions
556,8,War & Terrorism
557,0,Family & Relationships
558,8,War & Terrorism
559,0,Family & Relationships
560,14,Law & Legal Issues
561,13,Art & Aesthetics
562,5,Thoughts & Opinions
563,11,Transportation & Aviation
564,19,Sports & Competitions
565,11,Transportation & Aviation
566,10,Economy & Business
567,11,Transportation & Aviation
568,2,Environmental & Natural Disasters
569,11,Transportation & Aviation
570,11,Transportation & Aviation
571,11,Transportation & Aviation
572,1,Entertainment & Media
573,9,Elections & Politics
574,0,Family & Relationships
575,17,Social Movements & Protests
576,12,Technology & Computing
577,13,Art & Aesthetics
578,2,Environmental & Natural Disasters
579,4,Crime & Law Enforcement
580,1,Entertainment & Media
581,10,Economy & Business
582,9,Elections & Politics
583,0,Family & Relationships
584,3,International Affairs & Military
585,10,Economy & Business
586,9,Elections & Politics
587,13,Art & Aesthetics
588,5,Thoughts & Opinions
589,19,Sports & Competitions
590,2,Environmental & Natural Disasters
591,8,War & Terrorism
592,11,Transportation & Aviation
593,8,War & Terrorism
594,17,Social Movements & Protests
595,4,Crime & Law Enforcement
596,4,Crime & Law Enforcement
597,4,Crime & Law Enforcement
598,12,Technology & Computing
599,8,War & Terrorism
600,13,Art & Aesthetics
601,17,Social Movements & Protests
602,5,Thoughts & Opinions
603,6,Health & Drugs Research
604,3,International Affairs & Military
605,9,Elections & Politics
606,17,Social Movements & Protests
607,6,Health & Drugs Research
608,0,Family & Relationships
609,19,Sports & Competitions
610,4,Crime & Law Enforcement
611,8,War & Terrorism
612,19,Sports & Competitions
613,19,Sports & Competitions
614,8,War & Terrorism
615,3,International Affairs & Military
616,4,Crime & Law Enforcement
617,15,Urban Life & Infrastructure
618,17,Social Movements & Protests
619,19,Sports & Competitions
620,19,Sports & Competitions
621,4,Crime & Law Enforcement
622,4,Crime & Law Enforcement
623,9,Elections & Politics
624,0,Family & Relationships
625,5,Thoughts & Opinions
626,2,Environmental & Natural Disasters
627,17,Social Movements & Protests
628,11,Transportation & Aviation
629,4,Crime & Law Enforcement
630,4,Crime & Law Enforcement
631,0,Family & Relationships
632,9,Elections & Politics
633,9,Elections & Politics
634,19,Sports & Competitions
635,4,Crime & Law Enforcement
636,4,Crime & Law Enforcement
637,11,Transportation & Aviation
638,13,Art & Aesthetics
639,8,War & Terrorism
640,3,International Affairs & Military
641,7,Education & School Safety
642,5,Thoughts & Opinions
643,9,Elections & Politics
644,0,Family & Relationships
645,16,Healthcare & Medicine
646,9,Elections & Politics
647,14,Law & Legal Issues
648,8,War & Terrorism
649,4,Crime & Law Enforcement
650,9,Elections & Politics
651,5,Thoughts & Opinions
652,13,Art & Aesthetics
653,17,Social Movements & Protests
654,2,Environmental & Natural Disasters
655,17,Social Movements & Protests
656,17,Social Movements & Protests
657,19,Sports & Competitions
658,8,War & Terrorism
659,4,Crime & Law Enforcement
660,4,Crime & Law Enforcement
661,1,Entertainment & Media
662,11,Transportation & Aviation
663,3,International Affairs & Military
664,15,Urban Life & Infrastructure
665,3,International Affairs & Military
666,0,Family & Relationships
667,4,Crime & Law Enforcement
668,12,Technology & Computing
669,4,Crime & Law Enforcement
670,4,Crime & Law Enforcement
671,4,Crime & Law Enforcement
672,2,Environmental & Natural Disasters
673,4,Crime & Law Enforcement
674,11,Transportation & Aviation
675,4,Crime & Law Enforcement
676,1,Entertainment & Media
677,0,Family & Relationships
678,2,Environmental & Natural Disasters
679,3,International Affairs & Military
680,4,Crime & Law Enforcement
681,0,Family & Relationships
682,0,Family & Relationships
683,4,Crime & Law Enforcement
684,15,Urban Life & Infrastructure
685,4,Crime & Law Enforcement
686,5,Thoughts & Opinions
687,10,Economy & Business
688,0,Family & Relationships
689,4,Crime & Law Enforcement
690,3,International Affairs & Military
691,9,Elections & Politics
692,19,Sports & Competitions
693,4,Crime & Law Enforcement
694,10,Economy & Business
695,4,Crime & Law Enforcement
696,6,Health & Drugs Research
697,16,Healthcare & Medicine
698,10,Economy & Business
699,3,International Affairs & Military
700,13,Art & Aesthetics
701,16,Healthcare & Medicine
702,11,Transportation & Aviation
703,13,Art & Aesthetics
704,8,War & Terrorism
705,4,Crime & Law Enforcement
706,19,Sports & Competitions
707,19,Sports & Competitions
708,19,Sports & Competitions
709,19,Sports & Competitions
710,10,Economy & Business
711,13,Art & Aesthetics
712,12,Technology & Computing
713,9,Elections & Politics
714,9,Elections & Politics
715,9,Elections & Politics
716,9,Elections & Politics
717,16,Healthcare & Medicine
718,17,Social Movements & Protests
719,4,Crime & Law Enforcement
720,9,Elections & Politics
721,5,Thoughts & Opinions
722,8,War & Terrorism
723,5,Thoughts & Opinions
724,4,Crime & Law Enforcement
725,19,Sports & Competitions
726,1,Entertainment & Media
727,5,Thoughts & Opinions
728,5,Thoughts & Opinions
729,7,Education & School Safety
730,15,Urban Life & Infrastructure
731,3,International Affairs & Military
732,10,Economy & Business
733,9,Elections & Politics
734,0,Family & Relationships
735,9,Elections & Politics
736,4,Crime & Law Enforcement
737,2,Environmental & Natural Disasters
738,0,Family & Relationships
739,4,Crime & Law Enforcement
740,9,Elections & Politics
741,4,Crime & Law Enforcement
742,3,International Affairs & Military
743,17,Social Movements & Protests
744,11,Transportation & Aviation
745,0,Family & Relationships
746,4,Crime & Law Enforcement
747,1,Entertainment & Media
748,8,War & Terrorism
749,8,War & Terrorism
750,1,Entertainment & Media
751,5,Thoughts & Opinions
752,17,Social Movements & Protests
753,10,Economy & Business
754,17,Social Movements & Protests
755,5,Thoughts & Opinions
756,1,Entertainment & Media
757,5,Thoughts & Opinions
758,19,Sports & Competitions
759,8,War & Terrorism
760,19,Sports & Competitions
761,15,Urban Life & Infrastructure
762,8,War & Terrorism
763,19,Sports & Competitions
764,19,Sports & Competitions
765,13,Art & Aesthetics
766,19,Sports & Competitions
767,6,Health & Drugs Research
768,0,Family & Relationships
769,10,Economy & Business
770,11,Transportation & Aviation
771,19,Sports & Competitions
772,15,Urban Life & Infrastructure
773,6,Health & Drugs Research
774,12,Technology & Computing
775,5,Thoughts & Opinions
776,6,Health & Drugs Research
777,6,Health & Drugs Research
778,8,War & Terrorism
779,10,Economy & Business
780,0,Family & Relationships
781,5,Thoughts & Opinions
782,13,Art & Aesthetics
783,14,Law & Legal Issues
784,12,Technology & Computing
785,8,War & Terrorism
786,10,Economy & Business
787,9,Elections & Politics
788,4,Crime & Law Enforcement
789,5,Thoughts & Opinions
790,2,Environmental & Natural Disasters
791,0,Family & Relationships
792,4,Crime & Law Enforcement
793,8,War & Terrorism
794,3,International Affairs & Military
795,11,Transportation & Aviation
796,4,Crime & Law Enforcement
797,8,War & Terrorism
798,12,Technology & Computing
799,19,Sports & Competitions
800,19,Sports & Competitions
801,1,Entertainment & Media
802,9,Elections & Politics
803,2,Environmental & Natural Disasters
804,17,Social Movements & Protests
805,3,International Affairs & Military
806,16,Healthcare & Medicine
807,10,Economy & Business
808,8,War & Terrorism
809,4,Crime & Law Enforcement
810,15,Urban Life & Infrastructure
811,16,Healthcare & Medicine
812,4,Crime & Law Enforcement
813,5,Thoughts & Opinions
814,4,Crime & Law Enforcement
815,2,Environmental & Natural Disasters
816,8,War & Terrorism
817,0,Family & Relationships
818,13,Art & Aesthetics
819,4,Crime & Law Enforcement
820,15,Urban Life & Infrastructure
821,12,Technology & Computing
822,12,Technology & Computing
823,12,Technology & Computing
824,4,Crime & Law Enforcement
825,4,Crime & Law Enforcement
826,4,Crime & Law Enforcement
827,6,Health & Drugs Research
828,3,International Affairs & Military
829,10,Economy & Business
830,10,Economy & Business
831,12,Technology & Computing
832,1,Entertainment & Media
833,0,Family & Relationships
834,12,Technology & Computing
835,0,Family & Relationships
836,8,War & Terrorism
837,0,Family & Relationships
838,9,Elections & Politics
839,4,Crime & Law Enforcement
840,19,Sports & Competitions
841,4,Crime & Law Enforcement
842,3,International Affairs & Military
843,14,Law & Legal Issues
844,6,Health & Drugs Research
845,12,Technology & Computing
846,3,International Affairs & Military
847,10,Economy & Business
848,4,Crime & Law Enforcement
849,4,Crime & Law Enforcement
850,16,Healthcare & Medicine
851,3,International Affairs & Military
852,3,International Affairs & Military
853,12,Technology & Computing
854,3,International Affairs & Military
855,5,Thoughts & Opinions
856,19,Sports & Competitions
857,4,Crime & Law Enforcement
858,9,Elections & Politics
859,5,Thoughts & Opinions
860,9,Elections & Politics
861,2,Environmental & Natural Disasters
862,19,Sports & Competitions
863,11,Transportation & Aviation
864,17,Social Movements & Protests
865,0,Family & Relationships
866,9,Elections & Politics
867,19,Sports & Competitions
868,17,Social Movements & Protests
869,8,War & Terrorism
870,0,Family & Relationships
871,4,Crime & Law Enforcement
872,3,International Affairs & Military
873,1,Entertainment & Media
874,19,Sports & Competitions
875,12,Technology & Computing
876,5,Thoughts & Opinions
877,2,Environmental & Natural Disasters
878,5,Thoughts & Opinions
879,4,Crime & Law Enforcement
880,3,International Affairs & Military
881,17,Social Movements & Protests
882,9,Elections & Politics
883,7,Education & School Safety
884,3,International Affairs & Military
885,13,Art & Aesthetics
886,3,International Affairs & Military
887,1,Entertainment & Media
888,19,Sports & Competitions
889,8,War & Terrorism
890,8,War & Terrorism
891,5,Thoughts & Opinions
892,6,Health & Drugs Research
893,1,Entertainment & Media
894,3,International Affairs & Military
895,5,Thoughts & Opinions
896,10,Economy & Business
897,17,Social Movements & Protests
898,19,Sports & Competitions
899,6,Health & Drugs Research
900,10,Economy & Business
901,13,Art & Aesthetics
902,19,Sports & Competitions
903,19,Sports & Competitions
904,12,Technology & Computing
905,19,Sports & Competitions
906,2,Environmental & Natural Disasters
907,9,Elections & Politics
908,10,Economy & Business
909,0,Family & Relationships
910,5,Thoughts & Opinions
911,6,Health & Drugs Research
912,8,War & Terrorism
913,8,War & Terrorism
914,4,Crime & Law Enforcement
915,4,Crime & Law Enforcement
916,19,Sports & Competitions
917,1,Entertainment & Media
918,4,Crime & Law Enforcement
919,4,Crime & Law Enforcement
920,6,Health & Drugs Research
921,9,Elections & Politics
922,11,Transportation & Aviation
923,9,Elections & Politics
924,11,Transportation & Aviation
925,2,Environmental & Natural Disasters
926,19,Sports & Competitions
927,10,Economy & Business
928,8,War & Terrorism
929,10,Economy & Business
930,1,Entertainment & Media
931,12,Technology & Computing
932,19,Sports & Competitions
933,1,Entertainment & Media
934,12,Technology & Computing
935,4,Crime & Law Enforcement
936,4,Crime & Law Enforcement
937,2,Environmental & Natural Disasters
938,1,Entertainment & Media
939,13,Art & Aesthetics
940,13,Art & Aesthetics
941,12,Technology & Computing
942,4,Crime & Law Enforcement
943,19,Sports & Competitions
944,12,Technology & Computing
945,5,Thoughts & Opinions
946,4,Crime & Law Enforcement
947,8,War & Terrorism
948,19,Sports & Competitions
949,13,Art & Aesthetics
950,9,Elections & Politics
951,4,Crime & Law Enforcement
952,19,Sports & Competitions
953,3,International Affairs & Military
954,19,Sports & Competitions
955,9,Elections & Politics
956,9,Elections & Politics
957,6,Health & Drugs Research
958,2,Environmental & Natural Disasters
959,9,Elections & Politics
960,4,Crime & Law Enforcement
961,12,Technology & Computing
962,6,Health & Drugs Research
963,4,Crime & Law Enforcement
964,11,Transportation & Aviation
965,10,Economy & Business
966,1,Entertainment & Media
967,4,Crime & Law Enforcement
968,16,Healthcare & Medicine
969,10,Economy & Business
970,1,Entertainment & Media
971,4,Crime & Law Enforcement
972,10,Economy & Business
973,8,War & Terrorism
974,9,Elections & Politics
975,13,Art & Aesthetics
976,9,Elections & Politics
977,8,War & Terrorism
978,4,Crime & Law Enforcement
979,4,Crime & Law Enforcement
980,17,Social Movements & Protests
981,19,Sports & Competitions
982,4,Crime & Law Enforcement
983,1,Entertainment & Media
984,5,Thoughts & Opinions
985,12,Technology & Computing
986,15,Urban Life & Infrastructure
987,1,Entertainment & Media
988,9,Elections & Politics
989,8,War & Terrorism
990,1,Entertainment & Media
991,5,Thoughts & Opinions
992,0,Family & Relationships
993,13,Art & Aesthetics
994,9,Elections & Politics
995,9,Elections & Politics
996,13,Art & Aesthetics
997,4,Crime & Law Enforcement
998,4,Crime & Law Enforcement
999,17,Social Movements & Protests
1000,19,Sports & Competitions
1001,1,Entertainment & Media
1002,6,Health & Drugs Research
1003,17,Social Movements & Protests
1004,6,Health & Drugs Research
1005,8,War & Terrorism
1006,13,Art & Aesthetics
1007,1,Entertainment & Media
1008,5,Thoughts & Opinions
1009,4,Crime & Law Enforcement
1010,4,Crime & Law Enforcement
1011,3,International Affairs & Military
1012,19,Sports & Competitions
1013,4,Crime & Law Enforcement
1014,8,War & Terrorism
1015,0,Family & Relationships
1016,3,International Affairs & Military
1017,8,War & Terrorism
1018,10,Economy & Business
1019,9,Elections & Politics
